Switzerland,Jura,,5,no,All gatherings limited to 5 individuals,2 November 2020,"""Prohibition of demonstrations and gatherings, public or private, including in the family circle, inside and outside, of more than 5 participants.""",https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-des-mesures-indispensables-pour-endiguer-le-nombre-exponentiel-et-inquietant-des-contaminations-et-des-hospitalisations.html,no,,,,5,no,All gatherings limited to 5 individuals,2 November 2020,"""Prohibition of demonstrations and gatherings, public or private, including in the family circle, inside and outside, of more than 5 participants.""",https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-des-mesures-indispensables-pour-endiguer-le-nombre-exponentiel-et-inquietant-des-contaminations-et-des-hospitalisations.html,no,,,,15,no,Most private meetings limited to 15 individuals,24 October 2020,"Prohibition of all gatherings, demonstrations and meetings of more than 15 people, including children, in public and private spaces, with the exception of funeral and religious ceremonies, subject to an adequate protection plan (wearing of a mask and registration identities).",https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-Gouvernement-prend-plusieurs-mesures-fermes-face-a-la-degradation-de-la-situation-sanitaire-dans-le-Jura.html,28/10/2020,Stricter federal rules,https://www.fedlex.admin.ch/eli/oc/2020/793/de,,15,no,Most private meetings limited to 15 individuals,24 October 2020,"Prohibition of all gatherings, demonstrations and meetings of more than 15 people, including children, in public and private spaces, with the exception of funeral and religious ceremonies, subject to an adequate protection plan (wearing of a mask and registration identities).",https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-le-Gouvernement-prend-plusieurs-mesures-fermes-face-a-la-degradation-de-la-situation-sanitaire-dans-le-Jura.html,28/10/2020,Stricter federal rules,https://www.fedlex.admin.ch/eli/oc/2020/793/de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Mask mandate on public transport and in public indoor spaces; and in public outdoor spaces where social distancing cannot be upheld,2 November 2020,"Jede Person muss in öffentlich zugänglichen Innenräumen von Einrichtungen und Betrieben, in Wartebereichen von Bahn, Bus und Tram und in Bahnhöfen,  Flughäfen und anderen Zugangsbereichen des öffentlichen Verkehrs eine Gesichtsmaske tragen. and ""Jede Person muss im öffentlichen Raum in folgenden Bereichen eine Gesichtsmaske tragen: a. in belebten Fussgängerbereichen von urbanen Zentren und Dorfkernen; b. in weiteren Bereichen des öffentlichen Raums, sobald es zu einer Konzentration von Personen kommt, bei welcher der erforderliche Abstand nicht eingehalten werden kann.""",https://www.fedlex.admin.ch/eli/oc/2020/793/de,no,"Every person must wear a face mask in publicly accessible indoor and outdoor areas of facilities and businesses, including markets, as well as in waiting areas of trains, buses, trams and cable cars and in train stations, airports and other public transport access areas",https://web.archive.org/web/20210128042743/https://www.fedlex.admin.ch/eli/cc/2020/439/de
Switzerland,Jura,,,,,,,,,,,,,,,,,,,,,,10,no,No distinction between indoor and outdoor,29 October 2020,At events in family and friends (private events) that not take place in publicly accessible facilities and companiesa maximum of 10 people participate.,https://www.fedlex.admin.ch/eli/oc/2020/793/de,1 November 2020,"""Prohibition of demonstrations and gatherings, public or private, including in the family circle, inside and outside, of more than 5 participants.""",https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-des-mesures-indispensables-pour-endiguer-le-nombre-exponentiel-et-inquietant-des-contaminations-et-des-hospitalisations.html,,10,no,No distinction between indoor and outdoor,29 October 2020,At events in family and friends (private events) that not take place in publicly accessible facilities and companiesa maximum of 10 people participate.,https://www.fedlex.admin.ch/eli/oc/2020/793/de,1 November 2020,"""Prohibition of demonstrations and gatherings, public or private, including in the family circle, inside and outside, of more than 5 participants.""",https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-des-mesures-indispensables-pour-endiguer-le-nombre-exponentiel-et-inquietant-des-contaminations-et-des-hospitalisations.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Jura,,,,,,,,,,,,,,,,,,,,,,5,no,All gatherings limited to 5 individuals,2 November 2020,"""Prohibition of demonstrations and gatherings, public or private, including in the family circle, inside and outside, of more than 5 participants.""",https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-des-mesures-indispensables-pour-endiguer-le-nombre-exponentiel-et-inquietant-des-contaminations-et-des-hospitalisations.html,17 December 2020,Relaxation in run up to holidays,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-statu-quo-pour-le-dispositif-jurassien-en-attente-des-decisions-federales-avec-toutefois-la-permission-des-rassembleme.html,,5,no,All gatherings limited to 5 individuals,2 November 2020,"""Prohibition of demonstrations and gatherings, public or private, including in the family circle, inside and outside, of more than 5 participants.""",https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-des-mesures-indispensables-pour-endiguer-le-nombre-exponentiel-et-inquietant-des-contaminations-et-des-hospitalisations.html,17/12/2020,Relaxation in run up to holidays,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-statu-quo-pour-le-dispositif-jurassien-en-attente-des-decisions-federales-avec-toutefois-la-permission-des-rassembleme.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Jura,,,,,,,,,,,,,,,,,,,,,,10,no,Private gatherings limited to 10,18 December 2020,"Relaxation in run up to holidays; ""However, it eases the restriction on private gatherings, with a limit going from 5 to 10 people on December 18, 19 and 20."" ""The Jura government has decided to adopt the federal system for private meetings during the Holidays. It will thus be possible to meet with 10 people instead of 5 between December 22 and January 3.""",https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-statu-quo-pour-le-dispositif-jurassien-en-attente-des-decisions-federales-avec-toutefois-la-permission-des-rassembleme.html; https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-les-reunions-privees-a-10-personnes-autorisees-entre-le-22-decembre-2020-et-le-3-janvier-2021.html,3 January 2021,Holiday eased measures run out,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-les-reunions-privees-a-10-personnes-autorisees-entre-le-22-decembre-2020-et-le-3-janvier-2021.html,,10,no,Private gatherings limited to 10,18 December 2020,"Relaxation in run up to holidays; ""However, it eases the restriction on private gatherings, with a limit going from 5 to 10 people on December 18, 19 and 20."" ""The Jura government has decided to adopt the federal system for private meetings during the Holidays. It will thus be possible to meet with 10 people instead of 5 between December 22 and January 3.""",https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-statu-quo-pour-le-dispositif-jurassien-en-attente-des-decisions-federales-avec-toutefois-la-permission-des-rassembleme.html; https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-les-reunions-privees-a-10-personnes-autorisees-entre-le-22-decembre-2020-et-le-3-janvier-2021.html,3 January 2021,Holiday eased measures run out,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-les-reunions-privees-a-10-personnes-autorisees-entre-le-22-decembre-2020-et-le-3-janvier-2021.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Jura,,,,,,,,,,,,,,,,,,,,,,5,no,All gatherings limited to 5 individuals,4 January 2021,Holiday eased measures run out,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-les-reunions-privees-a-10-personnes-autorisees-entre-le-22-decembre-2020-et-le-3-janvier-2021.html,no,,,,5,no,All gatherings limited to 5 individuals,4 January 2021,Holiday eased measures run out,https://www.jura.ch/CHA/SIC/Centre-medias/Communiques-2020/COVID-19-les-reunions-privees-a-10-personnes-autorisees-entre-le-22-decembre-2020-et-le-3-janvier-2021.html,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Basel-Landschaft,,100,no,"Both public and private events (where social distancing cannot be upheld) are limited to 100 (or ""Sektoren"" of 100 if at a larger event)",9 July 2020,"""In Absprache mit den Kantonen Solothurn, Basel-Stadt und Aargau beschränkt der Kanton Basel-Landschaft in Bar- und Clubbetrieben sowie Diskotheken und Tanzlokalen die maximale Anzahl von Gästen neu auf 100 Personen. Zudem muss an öffentlichen und privaten Veranstaltungen mit über 100 Besucherinnen und Besuchern eine Unterteilung in Sektoren mit maximal 100 Personen vorgenommen werden.""",https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/zusaetzliche-massnahmen-zur-eindaemmung-des-coronavirus,18 October 2020,"""Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.""",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_3_c,,100,no,"Both public and private events (where social distancing cannot be upheld) are limited to 100 (or ""Sektoren"" of 100 if at a larger event)",09/07/2020,"""In Absprache mit den Kantonen Solothurn, Basel-Stadt und Aargau beschränkt der Kanton Basel-Landschaft in Bar- und Clubbetrieben sowie Diskotheken und Tanzlokalen die maximale Anzahl von Gästen neu auf 100 Personen. Zudem muss an öffentlichen und privaten Veranstaltungen mit über 100 Besucherinnen und Besuchern eine Unterteilung in Sektoren mit maximal 100 Personen vorgenommen werden.""",https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/zusaetzliche-massnahmen-zur-eindaemmung-des-coronavirus,18 October 2020,"""Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.""",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_3_c,,100,no,"Both public and private events (where social distancing cannot be upheld) are limited to 100 (or ""Sektoren"" of 100 if at a larger event)",9 July 2020,"""In Absprache mit den Kantonen Solothurn, Basel-Stadt und Aargau beschränkt der Kanton Basel-Landschaft in Bar- und Clubbetrieben sowie Diskotheken und Tanzlokalen die maximale Anzahl von Gästen neu auf 100 Personen. Zudem muss an öffentlichen und privaten Veranstaltungen mit über 100 Besucherinnen und Besuchern eine Unterteilung in Sektoren mit maximal 100 Personen vorgenommen werden.""",https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/zusaetzliche-massnahmen-zur-eindaemmung-des-coronavirus,21 October 2020,Stricter regulations are passed,https://bl.clex.ch/app/de/change_documents/691,,100,no,"Both public and private events (where social distancing cannot be upheld) are limited to 100 (or ""Sektoren"" of 100 if at a larger event)",09/07/2020,"""In Absprache mit den Kantonen Solothurn, Basel-Stadt und Aargau beschränkt der Kanton Basel-Landschaft in Bar- und Clubbetrieben sowie Diskotheken und Tanzlokalen die maximale Anzahl von Gästen neu auf 100 Personen. Zudem muss an öffentlichen und privaten Veranstaltungen mit über 100 Besucherinnen und Besuchern eine Unterteilung in Sektoren mit maximal 100 Personen vorgenommen werden.""",https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/medienmitteilungen/zusaetzliche-massnahmen-zur-eindaemmung-des-coronavirus,21 October 2020,Stricter regulations are passed,https://bl.clex.ch/app/de/change_documents/691,,Discos and nightclubs closed,29 October 2020,Discos and nightclubs closed,https://www.swissinfo.ch/eng/politics/switzerland-imposes-early-closing-time-for-bars-and-restaurants/46125392,no,Discos and nightclubs have not re-opened,https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html,,Gastronomy closed,22/12/2020,"From Tuesday, 22 December, restaurants and bars, cultural venues and sports and leisure facilities will have to close.",https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-81745.html,no,"The new measures take effect from Tuesday, 22 December, and will apply until 22 January 2021.",https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-81745.html,,Leisure venues closed,22/12/2020,"From Tuesday, 22 December, restaurants and bars, cultural venues and sports and leisure facilities will have to close.",https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-81745.html,no,"The new measures take effect from Tuesday, 22 December, and will apply until 22 January 2021.",https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-81745.html,,no,,,,,,,,no,,,,,,,,no,,,,,,,,Schools closed,Summer holiday,27/06/2020,,https://www.feiertagskalender.ch/cal.php?geo=273&jahr=2020&klasse=0&hl=de,09/08/2020,,https://www.feiertagskalender.ch/cal.php?geo=273&jahr=2020&klasse=0&hl=de,,Schools closed,Summer Holiday,27/06/2020,,https://www.feiertagskalender.ch/cal.php?geo=273&jahr=2020&klasse=0&hl=de,09/08/2020,,https://www.feiertagskalender.ch/cal.php?geo=273&jahr=2020&klasse=0&hl=de,,Summer vacation,Before 01/08/2020,Basel-Landschaft is one of four cantons of the Fachhochschule Nordwestschweiz; 2224 students in Basel-Landschaft. Basel-Landschaft contributes to the University of Basel (but not clear whether significant fraction of students life in Basel-Landschaft),https://www.baselland.ch/politik-und-behorden/direktionen/bildungs-kultur-und-sportdirektion/bildung/hoehere-berufsbildung-hochschulen/fachhochschule,13/09/2020,,https://www.fhnw.ch/de/studium/technik/termine,,1,2224,"288,000",,2,Mask mandate on public transport,6 July 2020,"Reisende in Fahrzeugen des öffentlichen Verkehrs wie Zügen, Strassenbahnen, Bussen, Schiffen und Seilbahnen müssen eine Gesichtsmaske tragen.",https://www.fedlex.admin.ch/eli/oc/2020/495/de,18 October 2020,Stricter mask mandate imposed,https://www.fedlex.admin.ch/eli/oc/2020/762/de
Switzerland,Basel-Landschaft,,15,no,"Gatherings in public space restricted to 15 individuals; organised events with hygiene measures can still take place with more individuals, no distinction between indoor and outdoor",19 October 2020,"""Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.""",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_3_c,no,"Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_3_c,,15,no,"Gatherings in public space restricted to 15 individuals; organised events with hygiene measures can still take place with more individuals, no distinction between indoor and outdoor",19 October 2020,"Menschenansammlungen von mehr als 15 Personen im öffentlichen Raum, namentlich auf öffentlichen Plätzen, auf Spazierwegen und in Parkanlagen, sind verboten.",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_3_c,no,"Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_3_c,,50,no,Divisions at events are limited to 50,22 October 2020,"""Organisatoren von Veranstaltungen mit mehr als 50 Besucherinnen und Besuchern, an denen während mindestens 15 Minuten weder der erforderliche Abstand von 1.5 Metern eingehalten noch geeignete andere Schutzmassnahmen wie das Tragen einer Gesichtsmaske ergriffen werden können, sind verpflichtet, eine Unterteilung in Steh- oder Sitzplatzsektoren mit maximal 50 Personen vorzunehmen""",https://www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-ergaenzt-massnahmen-gegen-die-ausbreitung-des-coronavirus,28 October 2020,At events in family and friends (private events) thatnot take place in publicly accessible facilities and companiesa maximum of 10 people participate.,https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_2,,50,no,Divisions at events are limited to 50,22 October 2020,"""Organisatoren von Veranstaltungen mit mehr als 50 Besucherinnen und Besuchern, an denen während mindestens 15 Minuten weder der erforderliche Abstand von 1.5 Metern eingehalten noch geeignete andere Schutzmassnahmen wie das Tragen einer Gesichtsmaske ergriffen werden können, sind verpflichtet, eine Unterteilung in Steh- oder Sitzplatzsektoren mit maximal 50 Personen vorzunehmen""",https://www.baselland.ch/politik-und-behorden/regierungsrat/medienmitteilungen/regierungsrat-ergaenzt-massnahmen-gegen-die-ausbreitung-des-coronavirus,28 October 2020,At events in family and friends (private events) thatnot take place in publicly accessible facilities and companiesa maximum of 10 people participate.,https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schools closed,Mid-term holiday,26/09/2020,,https://www.feiertagskalender.ch/cal.php?geo=273&jahr=2020&klasse=0&hl=de,11/10/2020,,https://www.feiertagskalender.ch/cal.php?geo=273&jahr=2020&klasse=0&hl=de,,Schools closed,Mid-term holiday,26/09/2020,,https://www.feiertagskalender.ch/cal.php?geo=273&jahr=2020&klasse=0&hl=de,11/10/2020,,https://www.feiertagskalender.ch/cal.php?geo=273&jahr=2020&klasse=0&hl=de,,Christmas vacation,19/12/2020,,https://www.fhnw.ch/de/studium/technik/termine,03/01/2021,,https://www.fhnw.ch/de/studium/technik/termine,,,,,,3,Mask mandate on public transport and in public indoor spaces,19 October 2020,"Jede Person muss in öffentlich zugänglichen Innenräumen von Einrichtungen und Betrieben, in Wartebereichen von Bahn, Bus und Tram und in Bahnhöfen,  Flughäfen und anderen Zugangsbereichen des öffentlichen Verkehrs eine Gesichtsmaske tragen.",https://www.fedlex.admin.ch/eli/oc/2020/762/de,1 November 2020,Stricter mask mandate imposed,https://www.fedlex.admin.ch/eli/oc/2020/793/de
Switzerland,Basel-Landschaft,,,,,,,,,,,,,,,,,,,,,,10,no,No distinction between indoor and outdoor,29 October 2020,At events in family and friends (private events) that not take place in publicly accessible facilities and companiesa maximum of 10 people participate.,https://www.fedlex.admin.ch/eli/oc/2020/793/de,no,At events in family and friends (private events) thatnot take place in publicly accessible facilities and companiesa maximum of 10 people participate.,https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_2,,10,no,No distinction between indoor and outdoor,29 October 2020,At events in family and friends (private events) that not take place in publicly accessible facilities and companiesa maximum of 10 people participate.,https://www.fedlex.admin.ch/eli/oc/2020/793/de,no,At events in family and friends (private events) thatnot take place in publicly accessible facilities and companiesa maximum of 10 people participate.,https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schools closed,Winter holiday,19/12/2020,,https://www.feiertagskalender.ch/cal.php?geo=273&jahr=2020&klasse=0&hl=de,03/01/2021,,https://www.feiertagskalender.ch/cal.php?geo=273&jahr=2021,,Schools closed,Winter holiday,19/12/2020,,https://www.feiertagskalender.ch/cal.php?geo=273&jahr=2020&klasse=0&hl=de,03/01/2021,,https://www.feiertagskalender.ch/cal.php?geo=273&jahr=2021,,,,,,,,,,,,,,3,Mask mandate on public transport and in public indoor spaces; and in public outdoor spaces where social distancing cannot be upheld,2 November 2020,"Jede Person muss in öffentlich zugänglichen Innenräumen von Einrichtungen und Betrieben, in Wartebereichen von Bahn, Bus und Tram und in Bahnhöfen,  Flughäfen und anderen Zugangsbereichen des öffentlichen Verkehrs eine Gesichtsmaske tragen. and ""Jede Person muss im öffentlichen Raum in folgenden Bereichen eine Gesichtsmaske tragen: a. in belebten Fussgängerbereichen von urbanen Zentren und Dorfkernen; b. in weiteren Bereichen des öffentlichen Raums, sobald es zu einer Konzentration von Personen kommt, bei welcher der erforderliche Abstand nicht eingehalten werden kann.""",https://www.fedlex.admin.ch/eli/oc/2020/793/de,no,"Every person must wear a face mask in publicly accessible indoor and outdoor areas of facilities and businesses, including markets, as well as in waiting areas of trains, buses, trams and cable cars and in train stations, airports and other public transport access areas",https://web.archive.org/web/20210128042743/https://www.fedlex.admin.ch/eli/cc/2020/439/de
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Vaud,,300,no,"Events are limited to 1000, no specific restrictions of public gatherings, divisions must be made in groups of 300, no distinction between indoor and outdoor",Before 1 August,Large events with over 1000 visitors or over 1000 people involved are prohibited.,https://www.fedlex.admin.ch/eli/cc/2020/439/de,18 October 2020,"""Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.""",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_3_c,,300,no,"Events are limited to 1000, no specific restrictions of public gatherings, divisions must be made in groups of 300, no distinction between indoor and outdoor",Before 1 August,Large events with over 1000 visitors or over 1000 people involved are prohibited.,https://www.fedlex.admin.ch/eli/cc/2020/439/de,18 October 2020,"""Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.""",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_3_c,,no,no,"No restriction on number of individuals at private events, no distinction between indoor and outdoor",Before 1 August,"For private events, specifically family events that are not open to the publicaccessible institutions or companies take place and their participating Persons are known to the organizers, only Article 3 applies [Article 3 pertains to mask wearing]",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_2,16 September 2020,Stricter local rules introduced,https://www.vd.ch/toutes-les-actualites/news/13607/,,no,no,"No restriction on number of individuals at private events, no distinction between indoor and outdoor",Before 1 August,"For private events, specifically family events that are not open to the publicaccessible institutions or companies take place and their participating Persons are known to the organizers, only Article 3 applies [Article 3 pertains to mask wearing]",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_2,16 September 2020,Stricter local rules introduced,https://www.vd.ch/toutes-les-actualites/news/13607/,,Discos and nightclubs closed,17/09/2020, Closure of nightclubs and discos,https://www.vd.ch/toutes-les-actualites/news/13607/,no,Discos and nightclubs have not re-opened,https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html,,Gastronomy closed,05/11/2020,"""Cafés, restaurants, bars, game rooms or café bars are closed. The canteens of companies, training centers and the pre- and extracurricular sector can continue to function. Catering services for the benefit of customers can be provided in hotels.""",https://www.vd.ch/toutes-les-actualites/communiques-de-presse/detail/communique/face-a-la-situation-sanitaire-et-hospitaliere-le-conseil-detat-prononce-letat-de-necessite-et-dur/,09/12/2020,"""A consultation between the French-speaking cantons (Vaud, Geneva, Jura, Neuchâtel, Friborg) allows the restaurants to reopen from Thursday, December 10. """,https://www.vd.ch/toutes-les-actualites/news/13825i-covid-19-reouverture-des-restaurants-le-10-decembre-dispositif-de-protection-adapte-pour-les-fetes/,,Most leisure venues closed,04/11/2020,"""The following places are closed: museums, cinemas, concert and theater halls, casinos, game rooms, leisure establishments, sports and wellness centers (fitness, etc.). The study places (reading rooms, libraries) remain open. Night clubs and discos remain closed.""",https://www.vd.ch/toutes-les-actualites/communiques-de-presse/detail/communique/face-a-la-situation-sanitaire-et-hospitaliere-le-conseil-detat-prononce-letat-de-necessite-et-dur/,no,,,,no,,,,,,,,no,,,,,,,,no,,,,,,,,Schools closed,Summer holiday,04/07/2020,,https://www.feiertagskalender.ch/cal.php?geo=2283&jahr=2020&klasse=0&hl=en,23/08/2020,,https://www.feiertagskalender.ch/cal.php?geo=2283&jahr=2020&klasse=0&hl=en,,Schools closed,Summer Holiday,04/07/2020,,https://www.feiertagskalender.ch/cal.php?geo=2283&jahr=2020&klasse=0&hl=en,23/08/2020,,https://www.feiertagskalender.ch/cal.php?geo=2283&jahr=2020&klasse=0&hl=en,,Summer vacation,Before 01/08/2020,"University of Lausanne, and École Polytechnique Fédérale de Lausanne two major universities with 11,000-13,000 students each; both have similar term dates",https://www.unil.ch/central/en/home/menuinst/organisation/documents-officiels/calendriers-academiques.htm l; https://memento.epfl.ch/academic-calendar/ ,13/09/2020,,https://www.unil.ch/central/en/home/menuinst/organisation/documents-officiels/calendriers-academiques.html; https://memento.epfl.ch/academic-calendar/,,>1,25369,"799,000",,2,Mask mandate on public transport,6 July 2020,"Reisende in Fahrzeugen des öffentlichen Verkehrs wie Zügen, Strassenbahnen, Bussen, Schiffen und Seilbahnen müssen eine Gesichtsmaske tragen.",https://www.fedlex.admin.ch/eli/oc/2020/495/de,17 September 2020,Stricter mask mandate imposed,https://www.vd.ch/toutes-les-actualites/news/13607/
Switzerland,Vaud,,15,no,"Gatherings in public space restricted to 15 individuals; organised events with hygiene measures can still take place with more individuals, no distinction between indoor and outdoor",19 October 2020,"""Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.""",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_3_c,4 November 2020,"""Private and public events are prohibited beyond 5 people, unless the family unit is larger; funerals can be held in the strict privacy of families.""",https://www.vd.ch/toutes-les-actualites/communiques-de-presse/detail/communique/face-a-la-situation-sanitaire-et-hospitaliere-le-conseil-detat-prononce-letat-de-necessite-et-dur/,,15,no,"Gatherings in public space restricted to 15 individuals; organised events with hygiene measures can still take place with more individuals, no distinction between indoor and outdoor",19 October 2020,"""Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.""",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_3_c,4 November 2020,"""Private and public events are prohibited beyond 5 people, unless the family unit is larger; funerals can be held in the strict privacy of families.""",https://www.vd.ch/toutes-les-actualites/communiques-de-presse/detail/communique/face-a-la-situation-sanitaire-et-hospitaliere-le-conseil-detat-prononce-letat-de-necessite-et-dur/,,100,no,Private gatherings/events limited to 100 individuals,17 September 2020,"""Events or private parties are prohibited for more than 100 people; From 50 people, the mask is compulsory and the organizers must have a list of identification of the participants""",https://www.vd.ch/toutes-les-actualites/news/13607/,24 October 2020,Stricter local rules introduced,https://www.vd.ch/toutes-les-actualites/news/13718i-covid-19-situation-extraordinaire-et-declenchement-du-plan-orca/,,100,no,Private gatherings/events limited to 100 individuals,17 September 2020,"""Events or private parties are prohibited for more than 100 people; From 50 people, the mask is compulsory and the organizers must have a list of identification of the participants""",https://www.vd.ch/toutes-les-actualites/news/13607/,24 October 2020,Stricter local rules introduced,https://www.vd.ch/toutes-les-actualites/news/13718i-covid-19-situation-extraordinaire-et-declenchement-du-plan-orca/,,,,,,,,,,Gastronomy closed,27/12/2020,"""In the cantons of Friborg, Vaud, Neuchâtel and Valais, public establishments (restaurants, bars) will be closed from Saturday evening, December 26. For the sake of harmonization of cantonal systems, their governments are thus refraining from making use of the possibilities of exemption still authorized by federal law for public establishments.""",https://www.vd.ch/toutes-les-actualites/communiques-de-presse/detail/communique/quatre-gouvernements-de-cantons-romands-saccordent-sur-la-fermeture-des-etablissements-publics-1608/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schools closed,Mid-term holiday,10/10/2020,,https://www.feiertagskalender.ch/cal.php?geo=2283&jahr=2020&klasse=0&hl=en,25/10/2020,,https://www.feiertagskalender.ch/cal.php?geo=2283&jahr=2020&klasse=0&hl=en,,Schools closed,Mid-term holiday,10/10/2020,,https://www.feiertagskalender.ch/cal.php?geo=2283&jahr=2020&klasse=0&hl=en,25/10/2020,,https://www.feiertagskalender.ch/cal.php?geo=2283&jahr=2020&klasse=0&hl=en,,Christmas vacation,19/12/2020,"University of Lausanne, and École Polytechnique Fédérale de Lausanne two major universities with 11,000-13,000 students each; both have similar term dates",https://www.unil.ch/central/en/home/menuinst/organisation/documents-officiels/calendriers-academiques.html; https://memento.epfl.ch/academic-calendar/,no,Exams in mid Jan,,,,,,,3,Mask mandate on public transport and in public indoor spaces,18 September 2020,"""compulsory mask wearing in closed public places""",https://www.vd.ch/toutes-les-actualites/news/13607/,1 November 2020,Stricter mask mandate imposed,https://www.fedlex.admin.ch/eli/oc/2020/793/de
